grantee,grant_date,grant_amount_arb,grant_name,proposal_url,gap_url
Ethereum News Podcast,2023-09-19,1250.0,Plurality Labs - Gitcoin Round,https://explorer.gitcoin.co/#/round/42161/0x59d79b22595b17af659ce9b03907615f53742c57/0x59d79b22595b17af659ce9b03907615f53742c57-5,https://gap.karmahq.xyz/project/ethereum-news-podcast/grants?grantId=0x96c729a0424bec0b3216a030e04fbeefa284dde85b8b79e0804b86fc2ec937ff&tab=overview
BanklessDAO,2023-11-15,1250.0,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x59d79b22595b17af659ce9b03907615f53742c57/0x59d79b22595b17af659ce9b03907615f53742c57-7,https://gap.karmahq.xyz/project/banklessdao/grants?grantId=0x8c8c3e1000400aaf98ef2fd2c4b2dcf0e9da4bd5a6d79f5688d92147474e04e3&tab=overview
Smart Aliens,2023-09-19,782.0,Plurality Labs - Gitcoin Round,https://explorer.gitcoin.co/#/round/42161/0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3/0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3-8,https://gap.karmahq.xyz/project/smart-aliens/grants?grantId=0x33410b7dcb85bf3cef51b07a0faeb1c803d1116036552c82d6da8cae102ce28c&tab=overview
KeplerHomes,2023-09-19,1450.0,Plurality Labs - Gitcoin Round,https://explorer.gitcoin.co/#/round/42161/0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3/0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3-19,https://gap.karmahq.xyz/project/keplerhomes/grants?grantId=0x8d8c8c1e408ffe20e45496b898b093588f768150c12fc568a394d8b76f74be6b&tab=overview
Dininho Fun World,2023-09-19,1450.0,Plurality Labs - Gitcoin Round,https://explorer.gitcoin.co/#/round/42161/0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3/0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3-3,https://gap.karmahq.xyz/project/dininho-fun-world/grants?grantId=0x74d32bb7eb2b2609034ff9bff8257fa154eb3a28a11207a98c4030747ba6ea8b&tab=overview
Inverter Network,2023-09-19,860.77,Plurality Labs - Gitcoin Round,https://explorer.gitcoin.co/#/round/42161/0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad/0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad-32,https://gap.karmahq.xyz/project/inverter-network/grants?grantId=0x76cdf5230aa07891673499d6d068571d2edf1c0a9b01d81b131159a6478e1d1b&tab=overview
Pulsar Protocol,2023-09-19,2978.4,Plurality Labs - Gitcoin Round,https://explorer.gitcoin.co/#/round/42161/0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad/0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad-2,https://gap.karmahq.xyz/project/pulsar-protocol/grants?grantId=0x3302bf1fd7057aba02c35f5b905f491a3ac6eacbfb680d5ada24bf29cce30132&tab=overview
Unitap,2023-09-19,5000.0,Plurality Labs - Gitcoin Round,https://explorer.gitcoin.co/#/round/42161/0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad/0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad-35,https://gap.karmahq.xyz/project/unitap/grants?grantId=0x6dfe17c28d136d445be670d0eb76e64cde4c05db3a224c101634fe0f96dcea1e&tab=overview
RentFun,2023-09-19,5000.0,Plurality Labs - Gitcoin Round,https://explorer.gitcoin.co/#/round/42161/0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad/0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad-9,https://gap.karmahq.xyz/project/rentfun/grants?grantId=0x4f285e6dff067385c020e4adbac4a62a237595ccfb199d7863dc49433c911722&tab=overview
Dasy,2023-11-15,1132.0,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad/0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad-16,https://gap.karmahq.xyz/project/dasy/grants?grantId=0x0739d54f09e14bf118407f941e437133a7799502fd55b1e76e11c30d6fe59a01&tab=overview
Rantom,2023-11-15,3600.0,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad/0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad-6,https://gap.karmahq.xyz/project/rantom/grants?grantId=0xcd4ba0c7386aa1470ff8d4473dadc4edb1a3ed83a9e1b5922a273e64496a8267&tab=overview
0xidm's DAO governance analysis and AIP,2023-11-15,1760.83,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x3ac78e1ae5086904d53b41c747188216789f59a7/0x3ac78e1ae5086904d53b41c747188216789f59a7-44,https://gap.karmahq.xyz/project/0xidms-dao-governance-analysis-and-aip/grants?grantId=0x58a793cc797bde5ed2678f3da5f37463e43827327008e4d02902b737d9668694&tab=overview
Nathan VDH,2023-11-15,3905.18,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x3ac78e1ae5086904d53b41c747188216789f59a7/0x3ac78e1ae5086904d53b41c747188216789f59a7-30,https://gap.karmahq.xyz/project/nathan-vdh/grants?grantId=0x0cd7fc23e2f5c2aebc2fced91da22bfda7b4d14dcc685530edb4ef218b09961a&tab=overview
limes.eth,2023-11-15,5000.0,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x3ac78e1ae5086904d53b41c747188216789f59a7/0x3ac78e1ae5086904d53b41c747188216789f59a7-39,https://gap.karmahq.xyz/project/limeseth/grants?grantId=0xd5ea5103e669b5d1ca503755890e8913b71e15693ec3d4dddad6e4ec6b63c20c&tab=overview
Voting Power,2023-11-15,5000.0,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x3ac78e1ae5086904d53b41c747188216789f59a7/0x3ac78e1ae5086904d53b41c747188216789f59a7-19,https://gap.karmahq.xyz/project/voting-power/grants?grantId=0xb7a036bf4caa153aac5d02b88ef182aca5c72fcb36a88605b8a5ebae7cd8f425&tab=overview
Raho,2023-11-15,5000.0,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x3ac78e1ae5086904d53b41c747188216789f59a7/0x3ac78e1ae5086904d53b41c747188216789f59a7-8,https://gap.karmahq.xyz/project/raho/grants?grantId=0x87bcf4df87e6c6bb0e42af31e9b48dbd3f8803a7ee091a550ba50d0239f72546&tab=overview
DeFi Teddy,2023-11-15,5000.0,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x3ac78e1ae5086904d53b41c747188216789f59a7/0x3ac78e1ae5086904d53b41c747188216789f59a7-14,https://gap.karmahq.xyz/project/defi-teddy/grants?grantId=0xd6f1744610615900ac62aa28de268e65abcf80d04756d05f8a6b4b56f9026f98&tab=overview
Open Block Labs,2023-10-16,195000.0,Plurality Labs - RFP STIP Monitoring,https://docs.google.com/document/d/1TUJ7CSrdFPxxm2_Kq4mAOmDpWQGinsD1A2AEmjq_UFA/edit,https://gap.karmahq.xyz/project/open-block-labs/grants?grantId=0xb86f43ad643bdc9a01543ae1518103b8e0a339bacc4a6bc72a572a84f90fd74d&tab=overview
Trusted Labs,,20000.0,Plurality Labs - Firestarters,no proposal URL on gap.karmahq.xyz,https://gap.karmahq.xyz/project/trusted-labs/grants?grantId=0x47317086102ab53804444f044452c7f1cd8e33e0c32195a250299a083b4bb834&tab=overview
Burns,2023-11-15,5000.0,Plurality Labs - Arbitrum Citizens,https://explorer.gitcoin.co/#/round/42161/0x3ac78e1ae5086904d53b41c747188216789f59a7/0x3ac78e1ae5086904d53b41c747188216789f59a7-27,https://gap.karmahq.xyz/project/burns/grants?grantId=0xd91ab03a34d00d1ff02d92f7ba028e8286b618f6812fe686beef25b68ea05b5f&tab=overview
PLAY2LEARN GAMES,2023-09-19,171.5,Plurality Labs - Gitcoin Round,https://explorer.gitcoin.co/#/round/42161/0x59d79b22595b17af659ce9b03907615f53742c57/0x59d79b22595b17af659ce9b03907615f53742c57-39,https://gap.karmahq.xyz/project/play2learn/grants?grantId=0x5c55b528b74e82a689164c19e6f53158b1815036a7194c8fd9fdbfa7480dd123&tab=overview
